SEARCH_STRING: fontend
STRING_FOUND - NUMBER_FOUND - SITE_EXAMINED
NO  - 0 - http://www.ozthongs.com.au/
NO  - 0 - http://www.123inkjets.com
NO  - 0 - http://www.mattress.com/
NO  - 0 - https://www.4inkjets.com
NO  - 0 - http://www.armaniexchange.com/
NO  - 0 - http://www.actionvillage.com/
NO  - 0 - http://www.actionvillage.com/
NO  - 0 - http://americanapparel.net/
NO  - 0 - http://www.autoanything.com/
NO  - 0 - http://www.babyage.com/
NO  - 0 - http://www.barneys.com/
NO  - 0 - http://www.bebe.com/
NO  - 0 - http://www.bellacor.com/
NO  - 0 - http://www.bizchair.com/
NO  - 0 - http://www.blinds.com/
NO  - 0 - http://www.boscovs.com
NO  - 0 - http://www.bose.com/
NO  - 0 - http://www.bowflex.com
NO  - 0 - http://www.callawaygolf.com
NO  - 0 - http://www.calumetphoto.com/
NO  - 0 - http://www.campingworld.com/
NO  - 0 - http://www.cduniverse.com/
NO  - 0 - http://www.cwdkids.com/
NO  - 0 - http://www.christianbook.com/
NO  - 0 - http://www.cpa2biz.com
NO  - 0 - http://www.cymaxstores.com/
NO  - 0 - http://www.databazaar.com
NO  - 0 - http://www.directron.com
NO  - 0 - http://www.dvdempire.com/
NO  - 0 - http://www.ecampus.com/
NO  - 0 - http://www.eforcity.com/
NO  - 0 - http://www.express.com
NO  - 0 - http://www.fansedge.com/
NO  - 0 - http://www.fathead.com/
NO  - 0 - http://www.petstore.com/
NO  - 0 - http://www.folica.com/
NO  - 0 - http://www.franklincovey.com/
NO  - 0 - http://frys.com/
NO  - 0 - http://www.gnc.com/home/
NO  - 0 - http://www.gifttree.com/
NO  - 0 - http://www.guessinc.com/
NO  - 0 - http://www.hamgo.com/
NO  - 0 - http://www.hottopic.com/
NO  - 0 - http://www.irobot.com/
NO  - 0 - http://www.jefferspet.com/ssc/
NO  - 0 - http://joann.com/
NO  - 0 - http://www.jockey.com/
NO  - 0 - http://www.jomashop.com/
NO  - 0 - http://www.karmaloop.com
NO  - 0 - http://www.kingarthurflour.com
NO  - 0 - https://www.leatherup.com
NO  - 0 - http://www.livingdirect.com/
NO  - 0 - http://www.lizclaiborneinc.com
NO  - 0 - http://www.lumberliquidators.com/
NO  - 0 - http://www.motorcycle-superstore.com/
NO  - 0 - http://www.nyandcompany.com
NO  - 0 - http://www.oakley.com
NO  - 0 - http://shop.pacsun.com/
NO  - 0 - http://www.palm.com/us/
NO  - 0 - http://www.partsamerica.com
NO  - 0 - http://www.pcrush.com/
NO  - 0 - http://www.personalizationmall.com
NO  - 0 - http://www.peruvianconnection.com/
NO  - 0 - http://www.propertyroom.com/
NO  - 0 - http://www.rockbottomgolf.com/
NO  - 0 - http://www.rockler.com/
NO  - 0 - http://www.samashmusic.com/
NO  - 0 - http://www.selectcomfort.com/
NO  - 0 - http://www.selectshops.com/
NO  - 0 - http://www.sheetmusicplus.com
NO  - 0 - http://www.shoppbs.org
NO  - 0 - http://www.shopperschoice.com/
NO  - 0 - http://www.skechers.com
NO  - 0 - http://www.skinstore.com/
NO  - 0 - http://www.supermediastore.com/
NO  - 0 - http://www.techforless.com/
NO  - 0 - http://www.tempurpedic.com/
NO  - 0 - http://www.containerstore.com/
NO  - 0 - http://www.gymboree.com/
NO  - 0 - http://www.hersheys.com/
NO  - 0 - http://www.honeybakedonline.com
NO  - 0 - http://www.yankeecandle.com
NO  - 0 - http://www.thewatchery.com/
NO  - 0 - http://www.thinkgeek.com/
NO  - 0 - http://www.underarmour.com/
NO  - 0 - http://www.verabradley.com
NO  - 0 - http://www.wine.com/
NO  - 0 - http://www.xoxide.com
NO  - 0 - http://www.acehardware.com/
NO  - 0 - http://www.americanmusical.com/
NO  - 0 - https://www.artfulhome.com/
NO  - 0 - http://www.bulbs.com/
NO  - 0 - http://www.doversaddlery.com/
NO  - 0 - http://www.entertainmentearth.com/
NO  - 0 - http://www.gandermountain.com/
NO  - 0 - http://www.gourmetgiftbaskets.com/
NO  - 0 - http://www.hickoryfarms.com/
NO  - 0 - http://www.igourmet.com/
NO  - 0 - http://www.moosejaw.com
NO  - 0 - http://www.mec.ca
NO  - 0 - http://www.patagonia.com
NO  - 0 - http://www.rugs-direct.com/
NO  - 0 - http://www.sensationalbeginnings.com
NO  - 0 - http://www.sweetwater.com/
NO  - 0 - http://www.westmarine.com
NO  - 0 - http://www.ergoindemand.com
NO  - 0 - http://www.burton.com/
XXX - 0 - http://www.greenmountaincoffee.com/
NO  - 0 - http://www.orvis.com/
NO  - 0 - http://www.vermontcountrystore.com/
XXX - 0 - https://www.vermontteddybear.com/
NO  - 0 - http://www.lakechamplainchocolates.com/
NO  - 0 - http://www.shopcabot.com/
NO  - 0 - http://www.dakinfarm.com
NO  - 0 - http://www.danforthpewter.com/
NO  - 0 - http://www.simonpearce.com/
NO  - 0 - http://www.benningtonpotters.com/
NO  - 0 - https://www.harringtonham.com
NO  - 0 - https://www.llbean.com
NO  - 0 - http://www.gardeners.com/
NO  - 0 - http://www.kingarthurflour.com
NO  - 0 - https://www.llbean.com
